Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
404,4,0.7665,4.599,2914.0,0.001572,0.9929309999999999,BYSL PFDN6 RPL7L1 TBCC,blastocyst formation|blastocyst development|cellular component biogenesis|protein folding|rRNA processing,2.091e-05|0.0001363|0.0002968|0.0007339|0.0009508,0.3298|1|1|1|1,278.3|106.2|7.625|45.16|39.61
405,8,0.6607,18.5,6657.0,0.0027649999999999997,0.9996790000000001,ABCB5 AEBP1 AGR3 BZW2 GHRHR GSDME HOXA11 WIPF3,"cell differentiation|cellular developmental process|somatotropin secreting cell development|somatotropin secreting cell differentiation|positive regulation of circadian sleep/wake cycle, non-REM sleep",0.000502|0.0005464|0.0007765|0.001552|0.00194,1|1|1|1|1,4.402|4.336|2574|858.1|643.6
406,4,0.7246,4.348,3372.0,0.001285,0.9929309999999999,C10orf67 C4orf51 KCTD19 SIAE,protein homooligomerization|regulation of cellular process|protein complex oligomerization|cellular process|UNCLASSIFIED,0.03469|0.04148|0.04467|0.04971|0.08866,1|1|1|1|1,28.6|0|22.1|0.3325|3.751
407,4,0.6525,3.915,3406.0,0.001146,0.9929309999999999,C11orf1 KCTD7 SPDYE1 STXBP6,glutamate homeostasis|amino acid homeostasis|membrane hyperpolarization|regulation of SNARE complex assembly|cellular potassium ion homeostasis,0.001165|0.001359|0.002134|0.002134|0.00291,1|1|1|1|1,1030|858.1|514.9|514.9|367.8
408,21,0.6408,134.6,14220.0,0.009346,1.0,CCDC77 CCP110 CENPJ CEP120 CEP135 CEP152 CEP295 CEP41 CEP44 PCNT PLK4 PPP1R35 RTTN SASS6 SPICE1 STIL TEDC1 TEDC2 TUBD1 TUBE1 WRAP73,centrosome cycle|microtubule organizing center organization|centrosome duplication|microtubule cytoskeleton organization|centriole replication,2.429e-23|1.016e-22|2.901e-22|2.373e-21|4.402e-21,3.832e-19|8.017e-19|1.525e-18|9.359e-18|1.389e-17,133.7|117.7|280.2|27.72|383.8
409,34,0.5812,326.1,23570.0,0.013609999999999999,1.0,H2AFX HIST1H1A HIST1H1B HIST1H1C HIST1H1D HIST1H1E HIST1H2AC HIST1H2AD HIST1H2AI HIST1H2AJ HIST1H2BA HIST1H2BB HIST1H2BC HIST1H2BD HIST1H2BE HIST1H2BF HIST1H2BG HIST1H2BH HIST1H2BI HIST1H2BJ HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN HIST1H2BO HIST1H3A HIST1H3D HIST1H3I HIST1H4A HIST1H4I HIST1H4L HIST2H2AC HIST2H2BE HIST2H2BF,"regulation of gene expression, epigenetic|chromatin organization|chromosome organization|chromatin organization involved in negative regulation of transcription|negative regulation of gene expression, epigenetic",2.5e-08|4.533e-08|3.678e-07|5.608e-07|5.824e-07,0.0003943|0.0003575|0.001934|0.002212|0.001837,96.35|29.55|19.41|160.5|158.4
410,7,0.6857,14.4,4338.0,0.0032979999999999997,0.9992989999999999,BRAF DUSP4 MAP2K1 MAPK1 PEA15 SOX10 SOX9,trachea development|endocrine system development|gland development|MAPK cascade|thyroid gland development,3.689e-08|4.751e-08|6.499e-08|6.499e-08|7.001e-08,0.0005819|0.0003747|0.0003417|0.0002563|0.0002209,464.5|95.68|35.97|35.97|367.8
411,4,0.6513,3.908,3282.0,0.001187,0.9929309999999999,C11orf45 OIT3 STEAP1B TMEM161A,urate homeostasis|negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage|regulation of intrinsic apoptotic signaling pathway in response to DNA damage|positive regulation of DNA repair|negative regulation of response to DNA damage stimulus,0.0003883|0.006007|0.007359|0.01487|0.01602,1|1|1|1|1,5149|171.6|139.2|67.75|62.79
412,5,0.7604,7.604,3854.0,0.001964,0.996692,C11orf53 IDE POU2F3 SOX4 STAM2,positive regulation of N-terminal peptidyl-lysine acetylation|regulation of N-terminal peptidyl-lysine acetylation|insulin catabolic process|pro-B cell differentiation|ascending aorta morphogenesis,0.0004854|0.0004854|0.0009706|0.001213|0.001213,1|1|1|1|1,4119|4119|1373|1030|1030
413,8,0.6553,18.35,6134.0,0.002975,0.9996790000000001,C11orf80 CABP2 FGF19 FOLR2 MRGPRD MRGPRF MYEOV POLD4,cellular response to folic acid|negative regulation of bile acid biosynthetic process|negative regulation of bile acid metabolic process|folate import across plasma membrane|folate transmembrane transport,0.001019|0.001358|0.001358|0.002037|0.002376,1|1|1|1|1,1471|980.7|980.7|588.4|490.4
414,4,0.7378,4.427,2764.0,0.001594,0.9929309999999999,C12orf45 CCDC59 PWP1 UTP20,"negative regulation of peptidyl-serine phosphorylation of STAT protein|rRNA 5'-end processing|endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|histone H4-K20 trimethylation|ribosome biogenesis",0.0007766|0.001165|0.001165|0.001165|0.001539,1|1|1|1|1,1716|1030|1030|1030|31.02
415,28,0.6507,246.0,22340.0,0.01086,1.0,CLC FFAR2 FFAR3 HKR1 IFNL1 IFNL2 IFNL3 LGALS13 LGALS14 PSG2 UPK1A ZFP82 ZNF285 ZNF302 ZNF382 ZNF461 ZNF546 ZNF566 ZNF568 ZNF569 ZNF570 ZNF571 ZNF573 ZNF585B ZNF599 ZNF780B ZNF790 ZNF792,"regulation of gene expression|regulation of transcription by RNA polymerase II|regulation of transcription, DNA-templated|regulation of nucleic acid-templated transcription|regulation of RNA biosynthetic process",1.412e-09|2.69e-09|2.787e-08|2.8e-08|2.866e-08,2.228e-05|2.121e-05|0.0001466|0.0001104|9.041e-05,3.321|4.835|3.822|3.821|3.815
416,26,0.6264,203.6,19070.0,0.01053,1.0,C12orf65 DDX28 GRSF1 GTPBP10 GTPBP8 MALSU1 MRM2 MRM3 MRPL1 MRPL44 MRPL50 MRPL58 MRPL9 MTERF3 MTERF4 MTFMT MTG1 MTG2 MTIF2 NGRN NSUN4 PTCD1 RMND1 RPUSD3 RPUSD4 TRUB2,regulation of mitochondrial translation|regulation of mitochondrial gene expression|ribosome biogenesis|ribonucleoprotein complex biogenesis|gene expression,3.433e-17|9.217e-17|3.005e-15|1.473e-13|2.086e-12,5.415e-13|7.27e-13|1.58e-11|5.81e-10|6.581e-09,243.7|211.2|28.63|20.44|6.522
417,5,0.6732,6.732,3826.0,0.0017519999999999999,0.996692,C12orf71 PRB1 PRB2 PRB4 TAS2R19,regulation of lipid kinase activity|negative regulation of G1/S transition of mitotic cell cycle|negative regulation of cell cycle G1/S phase transition|regulation of G1/S transition of mitotic cell cycle|regulation of cell division,0.0002501|0.0005725|0.0006043|0.001137|0.001448,1|1|1|1|1,84.06|54.99|53.49|38.71|34.21
418,4,0.6855,4.113,3410.0,0.001202,0.9929309999999999,C14orf119 DNAH14 IGIP PCDHGB7,cilium-dependent cell motility|cilium or flagellum-dependent cell motility|biological regulation|homophilic cell adhesion via plasma membrane adhesion molecules|regulation of biological process,0.02157|0.02157|0.02306|0.03223|0.03244,1|1|1|1|1,46.39|46.39|0|30.83|0
419,8,0.6679,18.7,6161.0,0.003018,0.9996790000000001,C16orf89 CLDN6 CORO7 GLIS2 OR1F1 SEPT12 ZNF213 ZNF500,regulation of transcription from RNA polymerase II promoter involved in kidney development|hematopoietic stem cell homeostasis|Golgi to endosome transport|calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules|negative regulation of smoothened signaling pathway,0.0007765|0.006197|0.006969|0.008512|0.01274,1|1|1|1|1,2574|171.6|151.4|122.6|80.45
420,12,0.6147,40.57,9279.0,0.004342,0.999986,BICDL2 C16orf90 CLDN6 CLDN9 CLUAP1 CORO7 OR1F1 PAQR4 SEPT12 TPSAB1 ZNF213 ZNF500,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules|bicellular tight junction assembly|tight junction assembly|tight junction organization|apical junction assembly,7.812e-05|0.00054|0.0005765|0.0006142|0.0007136,1|1|1|1|1,163.5|59.18|57.21|55.36|51.23
421,11,0.6527,35.9,8458.0,0.004215999999999999,0.999969,ABCC6 ACSM1 ACSM2B ACSM5 C16orf45 C16orf96 CA5A CORO7 NOMO1 SEPT12 ZNF500,acyl-CoA metabolic process|thioester metabolic process|long-chain fatty acid metabolic process|fatty acid biosynthetic process|purine nucleoside bisphosphate metabolic process,1.298e-05|1.298e-05|2.416e-05|2.659e-05|3.263e-05,0.2048|0.1024|0.127|0.1048|0.1029,63.7|63.7|51.49|49.83|46.45
422,19,0.6548,112.0,15460.0,0.007174,1.0,AIPL1 ALDH3A1 ALOX15 ALOX15B ALOXE3 C17orf107 CCDC144A CLEC10A KCTD11 MFSD6L MINK1 MYH2 MYH4 SHBG SLC2A4 TMEM256 TNFSF12 TNFSF13 VAMP2,hepoxilin biosynthetic process|hepoxilin metabolic process|lipoxygenase pathway|linoleic acid metabolic process|long-chain fatty acid biosynthetic process,1.453e-07|1.453e-07|6.373e-07|1.327e-06|4.649e-06,0.002292|0.001146|0.003351|0.005234|0.01467,361.3|361.3|203.2|154.8|98.54
423,14,0.6567,59.76,11150.0,0.0053170000000000005,0.9999969999999999,ALDH3A1 C17orf51 CCDC144A CCDC144NL DRC3 FOXO3 GID4 MFAP4 MIEF2 SLC47A2 TBC1D28 TNFSF12 TNFSF13 ZNF624,tumor necrosis factor-mediated signaling pathway|cellular response to tumor necrosis factor|response to tumor necrosis factor|positive regulation of muscle atrophy|regulation of muscle atrophy,8.103e-05|0.0005883|0.0007999|0.002037|0.003392,1|1|1|1|1,35.31|17.8|15.99|735.5|367.8
424,13,0.6584,51.36,8349.0,0.006095000000000001,0.999993,BRIP1 C17orf53 FANCI MCM8 MCM9 RAD51 RAD51B RAD51C RAD51D RFWD3 SFR1 XRCC2 XRCC3,recombinational repair|DNA recombination|double-strand break repair via homologous recombination|DNA repair|double-strand break repair,3.246e-23|3.423e-22|1.333e-20|3.5e-20|3.927e-20,5.12e-19|2.7e-18|7.011e-17|1.38e-16|1.239e-16,157.1|78.81|145.7|36.08|80.11
425,12,0.6679,44.08,9698.0,0.004514,0.999986,C18orf32 CDH7 CTIF DSG1 DSG3 DSG4 SERPINB10 SERPINB2 SERPINB5 SERPINB7 ZNF396 ZNF397,homophilic cell adhesion via plasma membrane adhesion molecules|negative regulation of endopeptidase activity|negative regulation of peptidase activity|cell-cell adhesion via plasma-membrane adhesion molecules|negative regulation of proteolysis,2.151e-06|9.545e-06|1.115e-05|1.184e-05|3.555e-05,0.03394|0.07528|0.05862|0.0467|0.1122,41.11|28.02|26.92|26.51|19.96
426,22,0.6525,150.7,17150.0,0.008692,1.0,APOBEC3A APOBEC3C APOBEC3D APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 FOXRED2 HPS1 MIF MPPE1 MPST MTFP1 RFPL2 RFPL3 SEC14L3 SEC14L4 SEC14L6 SLC5A1 TST VPREB1,DNA cytosine deamination|cytidine metabolic process|cytidine catabolic process|cytidine deamination|cytidine to uridine editing,1.169e-09|2.122e-09|2.122e-09|2.122e-09|2.122e-09,1.844e-05|1.674e-05|1.116e-05|8.369e-06|6.695e-06,358.2|298.5|298.5|298.5|298.5
427,4,0.7027,4.216,3308.0,0.0012699999999999999,0.9929309999999999,ACR C19orf18 CPT1B ZNF132,acrosome matrix dispersal|response to blue light|penetration of zona pellucida|carnitine shuttle|carnitine metabolic process,0.0003883|0.001359|0.001941|0.002328|0.00291,1|1|1|1|1,5149|858.1|572.1|468.1|367.8
428,11,0.6697,36.84,8047.0,0.004545,0.999969,C19orf66 ZNF433 ZNF441 ZNF490 ZNF563 ZNF564 ZNF625 ZNF627 ZNF69 ZNF709 ZNF878,regulation of transcription by RNA polymerase II|regulation of cellular macromolecule biosynthetic process|regulation of macromolecule biosynthetic process|regulation of cellular biosynthetic process|regulation of biosynthetic process,9.667e-09|1.181e-08|1.288e-08|1.998e-08|2.496e-08,0.0001525|9.313e-05|6.77e-05|7.88e-05|7.875e-05,7.24|5.263|5.222|5.017|4.916
429,21,0.499,104.8,14000.0,0.007408,1.0,CHCHD3 CLPB CLUH CRLS1 DNAJC11 FAM136A GHITM HAX1 HTRA2 IMMP2L IMMT MFN2 MTCH2 MTX1 MTX2 PARL ROMO1 SAMM50 TIMM13 TMEM11 YME1L1,mitochondrion organization|inner mitochondrial membrane organization|mitochondrial membrane organization|protein localization to mitochondrion|membrane organization,9.559e-21|9.696e-21|7.447e-19|2.622e-10|5.233e-10,1.508e-16|7.647e-17|3.915e-15|1.034e-06|1.651e-06,32.19|188.6|77.06|71.76|11.28
430,7,0.6543,13.74,5779.0,0.002366,0.9992989999999999,C19orf73 C5AR1 C5AR2 FLT3LG KPTN SULT2A1 SULT2B1,complement component C5a signaling pathway|complement receptor mediated signaling pathway|sulfation|purine ribonucleoside bisphosphate metabolic process|3'-phosphoadenosine 5'-phosphosulfate metabolic process,5.936e-07|1.037e-05|3.204e-05|3.459e-05|3.459e-05,0.009363|0.08178|0.1684|0.1364|0.1091,2942|452.6|245.2|235.4|235.4
431,6,0.6868,10.3,4231.0,0.0024219999999999997,0.998474,C1GALT1 CMAS GNE NANS SLC35A1 SLC39A9,N-acetylneuraminate metabolic process|nucleotide-sugar metabolic process|amino sugar metabolic process|carbohydrate derivative metabolic process|carbohydrate metabolic process,5.506e-06|5.487e-05|6.35e-05|7.957e-05|0.0002342,0.08685|0.4327|0.3339|0.3138|0.7389,624.1|180.7|167.4|13.65|21.72
432,4,0.6725,4.035,3529.0,0.001139,0.9929309999999999,C1QC CTRC NCALD SLC2A5,regulation of systemic arterial blood pressure|fructose import across plasma membrane|fructose import|regulation of blood pressure|cellular response to fructose stimulus,0.0001363|0.0003883|0.0003883|0.000486|0.001165,1|1|1|1|1,106.2|5149|5149|55.66|1030
433,12,0.6173,40.74,9315.0,0.004344,0.999986,CRISP1 CRISP2 FBXO9 GSTA1 GSTA3 GSTA4 IL17A IL17F MLIP RAB23 TFAP2B TFAP2D,glutathione derivative biosynthetic process|glutathione derivative metabolic process|positive regulation of chemokine (C-X-C motif) ligand 1 production|regulation of chemokine (C-X-C motif) ligand 1 production|glutathione metabolic process,3.445e-07|3.445e-07|4.657e-06|6.518e-06|7.401e-06,0.005434|0.002717|0.02449|0.0257|0.02335,234|234|858.1|686.5|79.21
434,7,0.6689,14.05,5539.0,0.002523,0.9992989999999999,C1S CLEC4C KLRC1 PRH2 TAS2R20 TAS2R7 TAS2R9,detection of chemical stimulus involved in sensory perception of bitter taste|sensory perception of bitter taste|detection of chemical stimulus involved in sensory perception of taste|sensory perception of taste|detection of chemical stimulus involved in sensory perception,2.184e-07|3.162e-07|3.387e-07|1.359e-06|0.0004332,0.003444|0.002494|0.001781|0.00536|1,245.2|215.3|210.2|129.8|18.16
435,9,0.6542,23.55,5856.0,0.003993,0.9998530000000001,BUB3 C1orf109 DHX33 DPAGT1 MYBBP1A POP5 RPP21 SPATA5L1 WDR18,tRNA 5'-leader removal|tRNA 5'-end processing|ncRNA 5'-end processing|RNA 5'-end processing|ribosome biogenesis,1.776e-05|2.586e-05|4.271e-05|5.062e-05|0.0003327,0.2801|0.2039|0.2246|0.1996|1,352.1|286|217.9|199|20.68
436,9,0.6682,24.05,6678.0,0.0035789999999999997,0.9998530000000001,C1orf131 COG2 EPRS INTS7 NUP133 SDE2 SRP9 TBCE URB2,gene expression|prolyl-tRNA aminoacylation|glutamyl-tRNA aminoacylation|negative regulation of translation|negative regulation of cellular amide metabolic process,0.00118|0.00131|0.00131|0.001577|0.002107,1|1|1|1|1,5.234|1144|1144|33.41|28.78
437,5,0.6722,6.722,3170.0,0.0021100000000000003,0.996692,CWC25 NSRP1 PPIL1 SNRNP40 SNRPB2,"RNA splicing|mRNA processing|mRNA metabolic process|RNA processing|mRNA splicing, via spliceosome",3.125e-09|7.388e-09|4.436e-08|1.836e-07|2.36e-07,4.929e-05|5.827e-05|0.0002333|0.0007241|0.0007444,50.6|42.55|29.68|22.31|54.56
438,4,0.6954,4.172,2943.0,0.0014119999999999998,0.9929309999999999,C1orf43 KIAA0100 KIAA1109 VAPA,positive regulation by host of viral release from host cell|modulation by host of viral release from host cell|phagocytosis|positive regulation by host of viral genome replication|negative regulation by host of viral genome replication,0.001165|0.001165|0.001485|0.001747|0.001747,1|1|1|1|1,1030|1030|31.59|643.6|643.6
439,11,0.6287,34.58,8892.0,0.0038640000000000002,0.999969,C1orf50 CCDC30 CFAP57 ERMAP EXO5 MFSD2A PPT1 ZFP69 ZFP69B ZNF684 ZNF691,lysophospholipid translocation|regulation of phosphatidylserine metabolic process|regulation of phosphatidylethanolamine metabolic process|lysophospholipid transport|photoreceptor cell morphogenesis,0.001067|0.001067|0.001067|0.001601|0.002667,1|1|1|1|1,1872|1872|1872|936.1|468.1
440,7,0.6738,14.15,5958.0,0.002364,0.9992989999999999,C20orf173 CNBD2 FAM209A FAM83C GGT7 MAP1LC3A MYH7B,response to iron(II) ion|leukotriene D4 biosynthetic process|leukotriene D4 metabolic process|glutathione catabolic process|cellular response to nitrogen starvation,0.002037|0.003732|0.003732|0.004071|0.004748,1|1|1|1|1,588.4|294.2|294.2|267.5|226.3
441,12,0.6103,40.28,9719.0,0.004118,0.999986,AVP C20orf202 HSPA12B LZTS3 OXT PLCB4 PRND SIRPB1 SIRPG SPEF1 TGM3 UBOX5,maternal aggressive behavior|aggressive behavior|female mating behavior|hyperosmotic salinity response|regulation of female receptivity,3.106e-06|1.117e-05|1.395e-05|1.395e-05|1.395e-05,0.04899|0.08806|0.07336|0.05502|0.04402,1144|490.4|429.1|429.1|429.1
442,9,0.6759,24.33,6041.0,0.004,0.9998530000000001,C21orf2 CCP110 CEP44 CEP97 CFAP97 KATNB1 KIF2A NEK1 PCM1,organelle assembly|microtubule cytoskeleton organization|cell cycle|centrosome cycle|microtubule-based process,7.994e-08|8.397e-07|2.381e-06|4.594e-06|4.65e-06,0.001261|0.006623|0.01252|0.01812|0.01467,19.78|22.74|11.11|87.76|16.03
443,22,0.655,151.3,17130.0,0.008735,1.0,APOBEC3D APOBEC3G APOL1 C22orf15 CRYBA4 CRYBB1 CRYBB3 DGCR6L FOXRED2 GSTT2B LRRC75B MIF MPPE1 RFPL2 RFPL3 RGL4 SEC14L6 SEPT5 SLC5A1 SUSD2 VPREB1 ZNF74,DNA cytosine deamination|lens development in camera-type eye|visual perception|sensory perception of light stimulus|cytidine metabolic process,7.803e-05|9.073e-05|9.525e-05|0.0001021|0.0001074,1|0.7156|0.5008|0.4027|0.339,179.1|35.35|16.58|16.28|149.2
444,4,0.6747,4.048,3105.0,0.001299,0.9929309999999999,C22orf42 GH2 GYPC OR5AU1,growth hormone receptor signaling pathway via JAK-STAT|growth hormone receptor signaling pathway|cellular response to growth hormone stimulus|response to growth hormone|positive regulation of receptor signaling pathway via JAK-STAT,0.00291|0.004072|0.004266|0.006973|0.007359,1|1|1|1|1,367.8|257.4|245.2|147.1|139.2
445,5,0.7413,7.412999999999999,3986.0,0.0018510000000000002,0.996692,C22orf46 CSDC2 PNPLA5 SEPT3 SULT4A1,sulfation|purine ribonucleoside bisphosphate metabolic process|3'-phosphoadenosine 5'-phosphosulfate metabolic process|triglyceride catabolic process|acylglycerol catabolic process,0.006054|0.006295|0.006295|0.006778|0.00919,1|1|1|1|1,171.6|164.8|164.8|152.6|111.3
446,5,0.6515,6.515,3654.0,0.001775,0.996692,C2CD5 CDK5 FIBP PTP4A1 TMEM94,positive regulation of protein targeting to membrane|regulation of protein targeting to membrane|regulation of protein targeting|positive regulation of protein localization to membrane|positive regulation of glial cell apoptotic process,2.481e-05|3.48e-05|0.0001669|0.0004024|0.000728,0.3914|0.2745|0.8776|1|1,265.7|222.6|99.25|63.37|2060
447,7,0.6546,13.75,4587.0,0.002979,0.9992989999999999,ADAT2 FAM98B PYROXD1 RTCB RTRAF TRMT6 TRMT61A,"tRNA processing|tRNA metabolic process|ncRNA processing|ncRNA metabolic process|tRNA splicing, via endonucleolytic cleavage and ligation",5.636e-13|3.585e-12|6.137e-10|1.782e-09|1.956e-08,8.891e-09|2.828e-08|3.227e-06|7.029e-06|6.17e-05,133.7|97.53|40.86|34.14|588.4
448,4,0.7672,4.603,2938.0,0.00156,0.9929309999999999,C2orf69 GLUL QARS SLC1A5,cellular amino acid metabolic process|tRNA aminoacylation for protein translation|tRNA aminoacylation|amino acid activation|L-glutamine import across plasma membrane,2.487e-05|5.293e-05|5.981e-05|6.219e-05|0.0004854,0.3923|0.4174|0.3145|0.2453|1,44.29|179.1|168.1|164.8|4119
449,6,0.6632,9.947000000000001,3972.0,0.002491,0.998474,DDX47 GAPDH NOP2 PHB2 USP5 WBP11,rRNA processing|rRNA metabolic process|ribosome biogenesis|ncRNA processing|ribonucleoprotein complex biogenesis,3.999e-05|4.47e-05|8.219e-05|0.0001783|0.0002214,0.6308|0.3525|0.4322|0.7033|0.6984,39.61|38.14|31.02|23.84|22.15
450,23,0.5934,150.1,17520.0,0.008475,1.0,AQP7 CD274 FAM205A IFNA1 IFNA10 IFNA14 IFNA16 IFNA17 IFNA2 IFNA21 IFNA4 IFNA5 IFNA6 IFNA7 IFNA8 IFNB1 IFNE IFNK IFNW1 MTAP OR2S2 SIGMAR1 TOMM5,positive regulation of peptidyl-serine phosphorylation of STAT protein|natural killer cell activation involved in immune response|regulation of peptidyl-serine phosphorylation of STAT protein|B cell proliferation|response to exogenous dsRNA,3.513e-41|1.811e-40|1.811e-40|2.765e-37|3.086e-36,5.541e-37|1.428e-36|9.522e-37|1.09e-33|9.737e-33,716.3|622.9|622.9|349.4|292.4
451,4,0.6513,3.908,3482.0,0.001118,0.9929309999999999,ATP2B2 C2orf91 CNPY1 GRIK1,regulation of cardiac conduction|negative regulation of citrulline biosynthetic process|regulation of citrulline biosynthetic process|negative regulation of cellular amine catabolic process|regulation of cellular amine catabolic process,7.749e-05|0.0004854|0.0004854|0.0004854|0.0004854,1|1|1|1|1,147.1|4119|4119|4119|4119
452,8,0.6519,18.25,6338.0,0.0028640000000000002,0.9996790000000001,C3orf52 COL6A2 KRTAP10-11 KRTAP10-3 KRTAP10-5 KRTAP12-1 KRTAP12-3 KRTAP12-4,keratinization|keratinocyte differentiation|epidermal cell differentiation|skin development|epidermis development,5.252e-11|1.435e-10|3.795e-10|1.183e-09|1.956e-09,8.284e-07|1.131e-06|1.995e-06|4.663e-06|6.169e-06,68.35|57.64|48.88|40.33|37.04
453,20,0.6198,117.8,15820.0,0.007372,1.0,ARPC1B C7orf43 CLDN15 CYP3A43 CYP3A5 CYP3A7 FBXO24 GJC3 MOGAT3 MUC12 PCOLCE PILRA PILRB PVRIG SLC26A4 SLC26A5 ZKSCAN1 ZNF394 ZSCAN21 ZSCAN25,oxidative demethylation|lipid hydroxylation|demethylation|oxalate transport|sulfate transmembrane transport,1.011e-06|2.886e-05|3.347e-05|5.283e-05|0.0001364,0.01595|0.2276|0.176|0.2083|0.4302,171.1|309.7|49.27|216.8|127.5
454,4,0.7422,4.453,3325.0,0.001334,0.9929309999999999,C4orf3 HERC3 MYOZ2 USP53,skeletal muscle fiber adaptation|skeletal muscle adaptation|negative regulation of calcineurin-NFAT signaling cascade|negative regulation of calcineurin-mediated signaling|negative regulation of calcium-mediated signaling,0.0009706|0.002716|0.003104|0.003104|0.003878,1|1|1|1|1,1287|396.1|343.2|343.2|271
455,4,0.7017,4.21,3115.0,0.0013460000000000002,0.9929309999999999,C4orf46 CNN2 TBC1D3B UQCRH,"mitochondrial electron transport, ubiquinol to cytochrome c|negative regulation of phagocytosis|interleukin-12-mediated signaling pathway|cellular response to interleukin-12|response to interleukin-12",0.00291|0.004653|0.009096|0.009482|0.009675,1|1|1|1|1,367.8|223.9|111.9|107.3|105.1
456,17,0.6558,89.2,13690.0,0.006458,1.0,PCDHA13 PCDHA3 PCDHA4 PCDHA5 PCDHA6 PCDHA7 PCDHA9 PCDHB10 PCDHB12 PCDHB13 PCDHB16 PCDHB7 PCDHGA10 PCDHGA2 PCDHGA7 PCDHGB1 PCDHGB3,homophilic cell adhesion via plasma membrane adhesion molecules|cell-cell adhesion via plasma-membrane adhesion molecules|cell-cell adhesion|cell adhesion|biological adhesion,6.818e-36|8.707e-33|7.534e-28|2.298e-23|2.555e-23,1.076e-31|6.867e-29|3.961e-24|9.062e-20|8.06e-20,123.3|79.52|40.07|21.66|21.52
457,6,0.6597,9.895,4185.0,0.002352,0.998474,DIAPH3 FLII KIF20B LRRFIP2 MYL6 TMOD3,actin filament-based process|actin filament organization|actin filament capping|negative regulation of actin filament depolymerization|myofibril assembly,1.034e-05|4.47e-05|5.213e-05|6.35e-05|0.0001081,0.163|0.3525|0.2741|0.2504|0.3411,22.96|38.14|185.5|167.4|127.1
458,4,0.684,4.104,3169.0,0.0012900000000000001,0.9929309999999999,ADAMTS12 C5orf51 FBXO4 PLCXD3,negative regulation of cellular response to hepatocyte growth factor stimulus|negative regulation of hepatocyte growth factor receptor signaling pathway|regulation of cellular response to hepatocyte growth factor stimulus|regulation of hepatocyte growth factor receptor signaling pathway|proteoglycan catabolic process,0.0003883|0.0003883|0.0005825|0.0009706|0.0009706,1|1|1|1|1,5149|5149|2574|1287|1287
459,5,0.6661,6.6610000000000005,3903.0,0.0017,0.996692,C6orf106 C6orf48 CLIC1 EGFL8 MSH5,meiotic mismatch repair|mismatch repair|platelet aggregation|reciprocal meiotic recombination|reciprocal homologous recombination,0.0008737|0.005089|0.00654|0.008279|0.008279,1|1|1|1|1,1373|201.9|156|122.6|122.6
460,10,0.6564,29.54,6995.0,0.004193,0.999933,C6orf136 CYC1 UQCC1 UQCC2 UQCC3 UQCR10 UQCRB UQCRC1 UQCRC2 UQCRQ,"mitochondrial electron transport, ubiquinol to cytochrome c|mitochondrial ATP synthesis coupled electron transport|ATP synthesis coupled electron transport|respiratory electron transport chain|oxidative phosphorylation",4.456e-20|4.524e-15|4.876e-15|1.659e-14|3.378e-14,7.029e-16|3.568e-11|2.564e-11|6.543e-11|1.066e-10,1030|162|160.2|133.5|120.1
461,7,0.6571,13.8,5530.0,0.002483,0.9992989999999999,C6orf203 ENPP1 ENPP3 TAAR2 TAAR6 ULBP3 VNN2,nucleoside triphosphate catabolic process|water-soluble vitamin metabolic process|nucleoside phosphate catabolic process|nucleoside triphosphate metabolic process|nucleobase-containing small molecule biosynthetic process,1.185e-05|0.0003486|0.0003486|0.0004172|0.0006591,0.1869|1|1|1|1,420.3|70.9|70.9|64.66|51.17
462,5,0.6751,6.751,3908.0,0.00172,0.996692,C6orf222 C6orf48 MSH5 TAP2 TNXB,"antigen processing and presentation of endogenous peptide antigen via MHC class I|antigen processing and presentation of endogenous peptide antigen|antigen processing and presentation of endogenous antigen|antigen processing and presentation of peptide antigen via MHC class I|antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",8.046e-06|9.879e-06|1.777e-05|0.0002404|0.0004854,0.1269|0.07792|0.09344|0.9481|1,484.6|433.6|316.8|82.38|4119
463,5,0.6539,6.539,4027.0,0.0016170000000000002,0.996692,ALOX15 ALOX15B C6orf52 CCDC144A DYNLT1,lipoxin A4 biosynthetic process|lipoxin A4 metabolic process|lipoxin biosynthetic process|lipoxin metabolic process|hepoxilin biosynthetic process,4.712e-07|7.067e-07|1.696e-06|2.119e-06|2.59e-06,0.007432|0.005574|0.008915|0.008357|0.008171,2746|2060|1177|1030|915.3
464,4,0.7495,4.497,3104.0,0.001443,0.9929309999999999,C7orf25 GTPBP1 GTPBP2 WDR12,"translational elongation|translation|peptide biosynthetic process|maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|amide biosynthetic process",0.0002245|0.00205|0.00232|0.003104|0.00383,1|1|1|1|1,82.38|26.82|25.18|343.2|19.5
